Budget_PK,Season,Flowtype,budget_sub_category,Fundig_Source,budget_date,amount,scouts_origin
1,2024-2025,Cash,Different,Expenditure,24-07-2024,0,Grombalia
2,2024-2025,Cash,Medias,Expenditure,24-07-2024,0,Grombalia
3,2024-2025,Cash,Insurance And Treatment,Expenditure,24-07-2024,0,Grombalia
4,2024-2025,Cash,Salaries,Expenditure,24-07-2024,0,Grombalia
5,2024-2025,Cash,Educational Equipment,Expenditure,24-07-2024,3500,Grombalia
6,2024-2025,Cash,Trips,Expenditure,24-07-2024,0,Grombalia
7,2024-2025,Cash,Equipment,Expenditure,24-07-2024,0,Grombalia
8,2024-2025,Cash,Transport,Expenditure,24-07-2024,0,Grombalia
9,2024-2025,Cash,Food,Expenditure,24-07-2024,0,Grombalia
10,2024-2025,Cash,Different,Expenditure,22-07-2024,0,Grombalia
11,2024-2025,Cash,Medias,Expenditure,22-07-2024,0,Grombalia
12,2024-2025,Cash,Insurance And Treatment,Expenditure,22-07-2024,0,Grombalia
13,2024-2025,Cash,Salaries,Expenditure,22-07-2024,0,Grombalia
14,2024-2025,Cash,Educational Equipment,Expenditure,22-07-2024,64000,Grombalia
15,2024-2025,Cash,Trips,Expenditure,22-07-2024,0,Grombalia
16,2024-2025,Cash,Equipment,Expenditure,22-07-2024,0,Grombalia
17,2024-2025,Cash,Transport,Expenditure,22-07-2024,0,Grombalia
18,2024-2025,Cash,Food,Expenditure,22-07-2024,0,Grombalia
19,2024-2025,Cheque,Different,Expenditure,18-08-2024,0,Grombalia
20,2024-2025,Cheque,Medias,Expenditure,18-08-2024,0,Grombalia
21,2024-2025,Cheque,Insurance And Treatment,Expenditure,18-08-2024,0,Grombalia
22,2024-2025,Cheque,Salaries,Expenditure,18-08-2024,0,Grombalia
23,2024-2025,Cheque,Educational Equipment,Expenditure,18-08-2024,0,Grombalia
24,2024-2025,Cheque,Trips,Expenditure,18-08-2024,0,Grombalia
25,2024-2025,Cheque,Equipment,Expenditure,18-08-2024,0,Grombalia
26,2024-2025,Cheque,Transport,Expenditure,18-08-2024,0,Grombalia
27,2024-2025,Cheque,Food,Expenditure,18-08-2024,121556,Grombalia
28,2024-2025,Cash,Different,Expenditure,19-08-2024,11900,Grombalia
29,2024-2025,Cash,Medias,Expenditure,19-08-2024,0,Grombalia
30,2024-2025,Cash,Insurance And Treatment,Expenditure,19-08-2024,0,Grombalia
31,2024-2025,Cash,Salaries,Expenditure,19-08-2024,0,Grombalia
32,2024-2025,Cash,Educational Equipment,Expenditure,19-08-2024,0,Grombalia
33,2024-2025,Cash,Trips,Expenditure,19-08-2024,0,Grombalia
34,2024-2025,Cash,Equipment,Expenditure,19-08-2024,0,Grombalia
35,2024-2025,Cash,Transport,Expenditure,19-08-2024,0,Grombalia
36,2024-2025,Cash,Food,Expenditure,19-08-2024,0,Grombalia
37,2024-2025,Cash,Different,Expenditure,19-08-2024,0,Grombalia
