Media_PK,Media_Code,Media_Platform,Season,Upload_Date,Views,Likes,Comments,scouts_origin
1,7538409861294394630,TikTok,2025-2026,14-08-2025,1232,77,2,Graombalia
2,7535462381468634373,TikTok,2025-2026,06-08-2025,715,54,2,Graombalia
3,7522562518905031992,TikTok,2025-2026,02-07-2025,162,19,1,Graombalia
4,7486241600931138871,TikTok,2025-2026,26-03-2025,577,54,1,Graombalia
5,7476941472739200311,TikTok,2025-2026,01-03-2025,1421,88,3,Graombalia
6,7476460895548296453,TikTok,2025-2026,28-02-2025,738,80,2,Graombalia
7,7476184729939725623,TikTok,2025-2026,27-02-2025,240,43,7,Graombalia
8,7475742687560207621,TikTok,2025-2026,26-02-2025,288,62,1,Graombalia
9,7604840140095147272,TikTok,2026-2027,09-02-2026,3057,144,4,Lebanon
10,7603805345739181330,TikTok,2026-2027,06-02-2026,1139,77,8,Lebanon
11,7603052430695091463,TikTok,2026-2027,04-02-2026,25900,331,8,Lebanon
12,7602310771501976840,TikTok,2026-2027,02-02-2026,1345,92,7,Lebanon
13,7601170074497535240,TikTok,2026-2027,30-01-2026,29800,377,10,Lebanon
14,7600456134280924424,TikTok,2026-2027,28-01-2026,6506,314,18,Lebanon
15,7599669210985368839,TikTok,2026-2027,26-01-2026,34400,464,14,Lebanon
16,7597798459151781127,TikTok,2026-2027,21-01-2026,46500,658,8,Lebanon
17,7585235707824721160,TikTok,2025-2026,18-12-2025,1739,89,6,Lebanon
18,7582674235424787720,TikTok,2025-2026,11-12-2025,5054,138,8,Lebanon
19,7582246861231197448,TikTok,2025-2026,10-12-2025,5519,192,13,Lebanon
20,7571885371038960914,TikTok,2025-2026,12-11-2025,4425,178,11,Lebanon
21,7569631179020864776,TikTok,2025-2026,06-11-2025,17500,294,10,Lebanon
22,7568898112496897288,TikTok,2025-2026,04-11-2025,60400,1092,14,Lebanon
23,7564468109428542727,TikTok,2025-2026,23-10-2025,13700,213,16,Lebanon
24,7344718153450147073,TikTok,2024-2025,10-03-2024,3187,140,2,Lebanon
25,7338510076346387714,TikTok,2024-2025,22-02-2024,7146,277,10,Lebanon
26,7336967389407382786,TikTok,2024-2025,18-02-2024,7761,208,2,Lebanon
27,7563689047869181202,TikTok,2025-2026,21-10-2025,57900,766,15,Lebanon
28,7561109044765658375,TikTok,2025-2026,14-10-2025,36700,375,22,Lebanon
29,7560707265196510471,TikTok,2025-2026,13-10-2025,9109,246,18,Lebanon
30,7559636745864695047,TikTok,2025-2026,10-10-2025,10500,382,15,Lebanon
31,7355094654985047297,TikTok,2024-2025,07-04-2024,9374,205,4,Lebanon
32,7351051376350317825,TikTok,2024-2025,27-03-2024,3593,158,2,Lebanon
33,7345114204287880450,TikTok,2024-2025,11-03-2024,6493,238,5,Lebanon
34,7341048405231160577,TikTok,2024-2025,29-02-2024,2527,135,2,Lebanon
35,7339892524070341889,TikTok,2024-2025,26-02-2024,5998,181,1,Lebanon
36,7335190208536726785,TikTok,2024-2025,13-02-2024,5602,231,7,Lebanon
37,7328839680399625473,TikTok,2024-2025,27-01-2024,9841,369,9,Lebanon
38,7311039316971588866,TikTok,2023-2024,10-12-2023,3683,219,11,Lebanon
39,7308775248718056706,TikTok,2023-2024,04-12-2023,2771,145,3,Lebanon
40,7307612915530566914,TikTok,2023-2024,01-12-2023,3594,153,3,Lebanon
41,7307243709899361538,TikTok,2023-2024,30-11-2023,3014,145,4,Lebanon
42,7307239078603296002,TikTok,2023-2024,30-11-2023,5830,253,11,Lebanon
43,7306941636192292097,TikTok,2023-2024,29-11-2023,5247,179,6,Lebanon
44,7306897687092137218,TikTok,2023-2024,29-11-2023,3338,162,7,Lebanon
45,7306149873181658370,TikTok,2023-2024,27-11-2023,31300,777,16,Lebanon
46,7302859270079433986,TikTok,2023-2024,18-11-2023,20400,450,14,Lebanon
47,7301731384412884226,TikTok,2023-2024,15-11-2023,4075,203,10,Lebanon
48,7301357320196443394,TikTok,2023-2024,14-11-2023,4056,191,1,Lebanon
49,7301344601439309057,TikTok,2023-2024,14-11-2023,3732,181,12,Lebanon
50,7600855501751995655,TikTok,2026-2027,29-01-2026,994,109,4,Ukraine
51,7593811910269635852,TikTok,2026-2027,10-01-2026,1301,101,2,Ukraine
52,7584134393480891668,TikTok,2025-2026,15-12-2025,2181,152,5,Ukraine
53,7579686936902667541,TikTok,2025-2026,03-12-2025,3372,264,9,Ukraine
54,7577733805507677460,TikTok,2025-2026,28-11-2025,2998,209,5,Ukraine
55,7571934452293717259,TikTok,2025-2026,12-11-2025,15100,2185,26,Ukraine
56,7570008445080948024,TikTok,2025-2026,07-11-2025,624700,81500,393,Ukraine
57,7565466156384013624,TikTok,2025-2026,26-10-2025,9605,177,9,Ukraine
58,7556677504560303416,TikTok,2025-2026,02-10-2025,9598,148,6,Ukraine
59,7556619680467766584,TikTok,2025-2026,02-10-2025,8228,129,5,Ukraine
60,7556293736087457035,TikTok,2025-2026,01-10-2025,9470,301,17,Ukraine
61,7554096635584793868,TikTok,2025-2026,25-09-2025,7271,206,12,Ukraine
62,7554094258563616011,TikTok,2025-2026,25-09-2025,5999,163,3,Ukraine
63,7553320251048381707,TikTok,2025-2026,23-09-2025,5307,155,4,Ukraine
64,7552949472951668024,TikTok,2025-2026,22-09-2025,6666,281,11,Ukraine
65,7552591576497753400,TikTok,2025-2026,21-09-2025,6492,197,21,Ukraine
66,7552546552611441976,TikTok,2025-2026,21-09-2025,6080,274,10,Ukraine
67,7552541082760891659,TikTok,2025-2026,21-09-2025,6324,311,5,Ukraine
68,7552212605100739852,TikTok,2025-2026,20-09-2025,346800,41000,532,Ukraine
69,7552160567906078008,TikTok,2025-2026,20-09-2025,7467,351,25,Ukraine
70,7551812453429120267,TikTok,2025-2026,19-09-2025,3900000,495900,3876,Ukraine
71,7551806944374246668,TikTok,2025-2026,19-09-2025,6274,186,4,Ukraine
72,7551798067725487371,TikTok,2025-2026,19-09-2025,192500,11000,425,Ukraine
73,7551795628330814732,TikTok,2025-2026,19-09-2025,6808,229,11,Ukraine
74,7551793582328368396,TikTok,2025-2026,19-09-2025,18500,1065,49,Ukraine
