Fact_Budgets_PK,Season,Season_FK,Flowtype,Budget_sub_category,Fundig_Source,Budget_date,Budget_date_FK,Amount,Scouts_origin,Participants_Camp_by_season,Duration_Days_Camp_by_season,scd_start,scd_end,scd_version,scd_active
1,2024-2025,2,Cash,Different,Expenditure,24-07-2024,20240724,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,1,0
2,2024-2025,2,Cash,Medias,Expenditure,24-07-2024,20240724,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,2,0
3,2024-2025,2,Cash,Insurance And Treatment,Expenditure,24-07-2024,20240724,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,3,0
4,2024-2025,2,Cash,Salaries,Expenditure,24-07-2024,20240724,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,4,0
5,2024-2025,2,Cash,Educational Equipment,Expenditure,24-07-2024,20240724,3500,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,5,0
6,2024-2025,2,Cash,Trips,Expenditure,24-07-2024,20240724,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,6,0
7,2024-2025,2,Cash,Equipment,Expenditure,24-07-2024,20240724,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,7,0
8,2024-2025,2,Cash,Transport,Expenditure,24-07-2024,20240724,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,8,0
9,2024-2025,2,Cash,Food,Expenditure,24-07-2024,20240724,0,Grombalia,205,23,2026-04-06 05:00:23.660,NULL,9,1
10,2024-2025,2,Cash,Different,Expenditure,22-07-2024,20240722,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,1,0
11,2024-2025,2,Cash,Medias,Expenditure,22-07-2024,20240722,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,2,0
