Fact_Com_PK,Media_Code,Media_Platform,Season,Season_FK,Upload_Date,Upload_date_FK,Views_Count,Likes_Count,Comments_Count,Scouts_origin,scd_start,scd_end,scd_version,scd_active
1,7538409861294394630,TikTok,2025-2026,3,14-08-2025,20250814,1232,77,2,Graombalia,2026-04-06 05:37:29.167,NULL,1,1
2,7535462381468634373,TikTok,2025-2026,3,06-08-2025,20250806,715,54,2,Graombalia,2026-04-06 05:37:29.167,NULL,1,1
3,7522562518905031992,TikTok,2025-2026,3,02-07-2025,20250702,162,19,1,Graombalia,2026-04-06 05:37:29.167,NULL,1,1
4,7486241600931138871,TikTok,2025-2026,3,26-03-2025,20250326,577,54,1,Graombalia,2026-04-06 05:37:29.167,NULL,1,1
5,7476941472739200311,TikTok,2025-2026,3,01-03-2025,20250301,1421,88,3,Graombalia,2026-04-06 05:37:29.167,NULL,1,1
6,7476460895548296453,TikTok,2025-2026,3,28-02-2025,20250228,738,80,2,Graombalia,2026-04-06 05:37:29.167,NULL,1,1
7,7476184729939725623,TikTok,2025-2026,3,27-02-2025,20250227,240,43,7,Graombalia,2026-04-06 05:37:29.167,NULL,1,1
8,7475742687560207621,TikTok,2025-2026,3,26-02-2025,20250226,288,62,1,Graombalia,2026-04-06 05:37:29.167,NULL,1,1
9,7604840140095147272,TikTok,2026-2027,4,09-02-2026,20260209,3057,144,4,Lebanon,2026-04-06 05:37:29.167,NULL,1,1
10,7603805345739181330,TikTok,2026-2027,4,06-02-2026,20260206,1139,77,8,Lebanon,2026-04-06 05:37:29.167,NULL,1,1
11,7603052430695091463,TikTok,2026-2027,4,04-02-2026,20260204,25900,331,8,Lebanon,2026-04-06 05:37:29.167,NULL,1,1
12,7602310771501976840,TikTok,2026-2027,4,02-02-2026,20260202,1345,92,7,Lebanon,2026-04-06 05:37:29.167,NULL,1,1
13,7601170074497535240,TikTok,2026-2027,4,30-01-2026,20260130,29800,377,10,Lebanon,2026-04-06 05:37:29.167,NULL,1,1
14,7600456134280924424,TikTok,2026-2027,4,28-01-2026,20260128,6506,314,18,Lebanon,2026-04-06 05:37:29.167,NULL,1,1
15,7599669210985368839,TikTok,2026-2027,4,26-01-2026,20260126,34400,464,14,Lebanon,2026-04-06 05:37:29.167,NULL,1,1
16,7597798459151781127,TikTok,2026-2027,4,21-01-2026,20260121,46500,658,8,Lebanon,2026-04-06 05:37:29.167,NULL,1,1
17,7585235707824721160,TikTok,2025-2026,3,18-12-2025,20251218,1739,89,6,Lebanon,2026-04-06 05:37:29.167,NULL,1,1
18,7582674235424787720,TikTok,2025-2026,3,11-12-2025,20251211,5054,138,8,Lebanon,2026-04-06 05:37:29.167,NULL,1,1
19,7582246861231197448,TikTok,2025-2026,3,10-12-2025,20251210,5519,192,13,Lebanon,2026-04-06 05:37:29.167,NULL,1,1
20,7571934452293717259,TikTok,2025-2026,3,12-11-2025,20251112,4425,178,11,Ukraine,2026-04-06 05:37:29.167,2026-04-06 05:37:29.167,1,0
21,7569631179020864776,TikTok,2025-2026,3,06-11-2025,20251106,17500,294,10,Lebanon,2026-04-06 05:37:29.167,NULL,1,1
