Fact_Members_PK,Unit_Name,Unit_FK,Season,Season_FK,Members_Count_By_Unit,Activity_Count_By_Unit,Leaders_Count_By_Unit,Females_Count_By_Unit,Males_Count_By_Unit,Scout_Origin,Activity_Count,Camp_Count,scd_start,scd_end,scd_version,scd_active
1,Achbal,2,2024-2025,2,25,36,2,-1,-1,Grombalia,130,4,2026-04-06 01:39:15.780,NULL,1,1
2,Zaharat,5,2024-2025,2,18,34,3,-1,-1,Grombalia,130,4,2026-04-06 01:39:15.780,NULL,1,1
3,Kachafa,8,2024-2025,2,16,40,3,-1,-1,Grombalia,130,4,2026-04-06 01:39:15.780,NULL,1,1
4,Morchidet,11,2024-2025,2,18,38,4,-1,-1,Grombalia,130,4,2026-04-06 01:39:15.780,NULL,1,1
5,Jawela,14,2024-2025,2,10,30,2,-1,-1,Grombalia,130,4,2026-04-06 01:39:15.780,NULL,1,1
6,Dalilet,17,2024-2025,2,10,24,2,-1,-1,Grombalia,130,4,2026-04-06 01:39:15.780,NULL,1,1
7,Achbal,1,2023-2024,1,45,30,4,-1,-1,Grombalia,102,2,2026-04-06 01:39:15.780,NULL,1,1
8,Zaharat,4,2023-2024,1,40,28,4,-1,-1,Grombalia,102,2,2026-04-06 01:39:15.780,NULL,1,1
9,Kachafa,7,2023-2024,1,24,32,3,-1,-1,Grombalia,102,2,2026-04-06 01:39:15.780,NULL,1,1
10,Morchidet,10,2023-2024,1,34,30,4,-1,-1,Grombalia,102,2,2026-04-06 01:39:15.780,NULL,1,1
11,Jawela,13,2023-2024,1,12,25,2,-1,-1,Grombalia,102,2,2026-04-06 01:39:15.780,NULL,1,1
12,Dalilet,16,2023-2024,1,8,20,2,-1,-1,Grombalia,102,2,2026-04-06 01:39:15.780,NULL,1,1
13,Achbal,3,2025-2026,3,12,12,2,1,5,Grombalia,20,1,2026-04-06 01:39:15.780,NULL,1,1
14,Zaharat,6,2025-2026,3,25,5,2,3,0,Grombalia,20,1,2026-04-06 01:39:15.780,NULL,1,1
15,Kachafa,9,2025-2026,3,12,3,2,0,2,Grombalia,20,1,2026-04-06 01:39:15.780,NULL,1,1
16,Morchidet,12,2025-2026,3,20,3,2,9,0,Grombalia,20,1,2026-04-06 01:39:15.780,NULL,1,1
17,Jawela,15,2025-2026,3,8,2,2,0,2,Grombalia,20,1,2026-04-06 01:39:15.780,NULL,1,1
18,Dalilet,18,2025-2026,3,6,2,1,2,0,Grombalia,20,1,2026-04-06 01:39:15.780,NULL,1,1
19,Achbal,19,2023-2024,1,39,-1,-1,-1,-1,Somaa,-1,-1,2026-04-06 01:39:15.780,NULL,1,1
20,Roued,20,2023-2024,1,21,-1,-1,-1,-1,Somaa,-1,-1,2026-04-06 01:39:15.780,NULL,1,1
21,Dalilet,21,2023-2024,1,10,-1,-1,-1,-1,Somaa,-1,-1,2026-04-06 01:39:15.780,NULL,1,1
22,Jawela,22,2023-2024,1,11,-1,-1,-1,-1,Somaa,-1,-1,2026-04-06 01:39:15.780,NULL,1,1
23,Morchidet,23,2023-2024,1,23,-1,-1,-1,-1,Somaa,-1,-1,2026-04-06 01:39:15.780,NULL,1,1
24,Achbal,24,2023-2024,1,38,-1,-1,-1,-1,Somaa,-1,-1,2026-04-06 01:39:15.780,NULL,1,1
25,Zaharat,25,2023-2024,1,36,-1,-1,-1,-1,Somaa,-1,-1,2026-04-06 01:39:15.780,NULL,1,1
26,Morchidet,26,2023-2024,1,64,-1,-1,-1,-1,Somaa,-1,-1,2026-04-06 01:39:15.780,NULL,1,1
27,Zaharat,27,2023-2024,1,31,-1,-1,-1,-1,Somaa,-1,-1,2026-04-06 01:39:15.780,NULL,1,1
28,Kachafa,28,2023-2024,1,26,-1,-1,-1,-1,Somaa,-1,-1,2026-04-06 01:39:15.780,NULL,1,1
29,Kachafa,29,2023-2024,1,41,-1,-1,-1,-1,Somaa,-1,-1,2026-04-06 01:39:15.780,NULL,1,1
30,Achbal,30,2024-2025,2,38,-1,-1,-1,-1,Somaa,-1,-1,2026-04-06 01:39:15.780,NULL,1,1
31,Zaharat,31,2024-2025,2,30,-1,-1,-1,-1,Somaa,-1,-1,2026-04-06 01:39:15.780,NULL,1,1
32,Dalilet,32,2024-2025,2,18,-1,-1,-1,-1,Somaa,-1,-1,2026-04-06 01:39:15.780,NULL,1,1
33,Jawela,33,2024-2025,2,27,-1,-1,-1,-1,Somaa,-1,-1,2026-04-06 01:39:15.780,NULL,1,1
34,Achbal,34,2024-2025,2,37,-1,-1,-1,-1,Somaa,-1,-1,2026-04-06 01:39:15.780,NULL,1,1
35,Zaharat,35,2024-2025,2,28,-1,-1,-1,-1,Somaa,-1,-1,2026-04-06 01:39:15.780,NULL,1,1
36,Zaharat,36,2024-2025,2,19,-1,-1,-1,-1,Somaa,-1,-1,2026-04-06 01:39:15.780,NULL,1,1
37,Morchidet,37,2024-2025,2,25,-1,-1,-1,-1,Somaa,-1,-1,2026-04-06 01:39:15.780,NULL,1,1
38,Morchidet,38,2024-2025,2,62,-1,-1,-1,-1,Somaa,-1,-1,2026-04-06 01:39:15.780,NULL,1,1
39,Kachafa,39,2024-2025,2,35,-1,-1,-1,-1,Somaa,-1,-1,2026-04-06 01:39:15.780,NULL,1,1
40,Roued,40,2024-2025,2,31,-1,-1,-1,-1,Somaa,-1,-1,2026-04-06 01:39:15.780,NULL,1,1
41,Kachafa,41,2024-2025,2,19,-1,-1,-1,-1,Somaa,-1,-1,2026-04-06 01:39:15.780,NULL,1,1
